FRED Graph Observations,,,,FRED Graph Observations,,,,
Federal Reserve Economic Data,,,,Federal Reserve Economic Data,,,,
Link: https://fred.stlouisfed.org,,,,Link: https://fred.stlouisfed.org,,,,
Help: https://fred.stlouisfed.org/help-faq,,,,Help: https://fred.stlouisfed.org/help-faq,,,,
Economic Research Division,,,,Economic Research Division,,,,
Federal Reserve Bank of St. Louis,,,,Federal Reserve Bank of St. Louis,,,,
,,,,,,,,
AAA,"Moody's Seasoned Aaa Corporate Bond Yield©, Percent, Monthly, Not Seasonally Adjusted",,,BAA,"Moody's Seasoned Baa Corporate Bond Yield©, Percent, Monthly, Not Seasonally Adjusted",,,
,,,,,,,,
Frequency: Annual using 01-01 each year from monthly data,,,,Frequency: Annual using 01-01 each year from monthly data,,,,
observation_date,AAA,,,observation_date,BAA,,,BAA-AAA
1985-01-01,12.08,,,1985-01-01,13.26,,,1.18
1986-01-01,10.05,,,1986-01-01,11.44,,,1.39
1987-01-01,8.36,,,1987-01-01,9.72,,,1.36
1988-01-01,9.88,,,1988-01-01,11.07,,,1.19
1989-01-01,9.62,,,1989-01-01,10.65,,,1.03
1990-01-01,8.99,,,1990-01-01,9.94,,,0.95
1991-01-01,9.04,,,1991-01-01,10.45,,,1.41
1992-01-01,8.20,,,1992-01-01,9.13,,,0.93
1993-01-01,7.91,,,1993-01-01,8.67,,,0.76
1994-01-01,6.92,,,1994-01-01,7.65,,,0.73
1995-01-01,8.46,,,1995-01-01,9.08,,,0.62
1996-01-01,6.81,,,1996-01-01,7.47,,,0.66
1997-01-01,7.42,,,1997-01-01,8.09,,,0.67
1998-01-01,6.61,,,1998-01-01,7.19,,,0.58
1999-01-01,6.24,,,1999-01-01,7.29,,,1.05
2000-01-01,7.78,,,2000-01-01,8.33,,,0.55
2001-01-01,7.15,,,2001-01-01,7.93,,,0.78
2002-01-01,6.55,,,2002-01-01,7.87,,,1.32
2003-01-01,6.17,,,2003-01-01,7.35,,,1.18
2004-01-01,5.54,,,2004-01-01,6.44,,,0.90
2005-01-01,5.36,,,2005-01-01,6.02,,,0.66
2006-01-01,5.29,,,2006-01-01,6.24,,,0.95
2007-01-01,5.40,,,2007-01-01,6.34,,,0.94
2008-01-01,5.33,,,2008-01-01,6.54,,,1.21
2009-01-01,5.05,,,2009-01-01,8.14,,,3.09
2010-01-01,5.26,,,2010-01-01,6.25,,,0.99
2011-01-01,5.04,,,2011-01-01,6.09,,,1.05
2012-01-01,3.85,,,2012-01-01,5.23,,,1.38
2013-01-01,3.80,,,2013-01-01,4.73,,,0.93
2014-01-01,4.49,,,2014-01-01,5.19,,,0.70
2015-01-01,3.46,,,2015-01-01,4.45,,,0.99
